time, distance, loudness, orientationX, orientationY, orientationZ, accelerationX, accelerationY, accelerationZ
1553260020.991351,221,204,-1.095123,-1.280503,0.823442,-0.210571,0.959167,0.187561
1553260021.069764,221,178,-1.119564,-1.282025,0.816425,-0.223450,0.962769,0.192261
1553260021.148456,221,168,-1.117184,-1.280516,0.818043,-0.209412,0.965637,0.192261
1553260021.226974,222,83,-1.105974,-1.277802,0.810073,-0.210327,0.963135,0.208069
1553260021.305438,222,227,-1.094946,-1.275476,0.828772,-0.208862,0.958557,0.187439
1553260021.385232,222,257,-1.087881,-1.278542,0.809820,-0.209900,0.958496,0.189514
1553260021.464033,222,126,-1.097985,-1.279111,0.822939,-0.211609,0.958740,0.184265
1553260021.542655,221,127,-1.118020,-1.279819,0.809966,-0.208679,0.965088,0.195740
1553260021.621363,221,151,-1.125662,-1.281482,0.803770,-0.206360,0.961731,0.181763
1553260021.700073,221,135,-1.137080,-1.274641,0.797403,-0.210938,0.960938,0.185913
1553260021.778931,221,90,-1.103897,-1.280256,0.829318,-0.228027,0.960327,0.196533
1553260021.857378,221,370,-1.119065,-1.279592,0.814432,-0.209778,0.964905,0.205566
1553260021.935697,221,404,-1.081017,-1.287641,0.818052,-0.204529,0.961792,0.208801
1553260022.013628,221,158,-1.093916,-1.278530,0.824328,-0.212463,0.965393,0.204163
